# This file defines special inputs that alter program execution (control flow)
# Format: key<TAB>handler<TAB>index<TAB>description<TAB>meta<TAB>extra (comments start with #)

test	egg		Running self-diagnostics...		CPU: OK;Memory: OK;Number theory: OK;Sense of humor: WARNING;No problems detected.
tohuvavohu	egg		Input is without shape or void — no valid integer formed.		
version	egg		Numclass v2.2.0 — classifying the universe, one integer at a time.		
wargames	egg		Shall we Play a game?		
wopr	egg		Shall we Play a game?		
xyzzy	egg		Nothing happens.		
∞	egg		Mathematical nirvana reached. You are now everywhere at once.		
gauss	person	Carl Friedrich Gauss (1777–1855)	Princeps mathematicorum and one of the founders of modern number theory.	Born: 30 Apr 1777, Brunswick; Died: 23 Feb 1855, Göttingen	Gaussian integers; quadratic reciprocity; Disquisitiones Arithmeticae; normal distribution
euler	person	Leonhard Euler (1707–1783)	One of the most prolific mathematicians in history.	Born: 15 Apr 1707, Basel; Died: 18 Sep 1783, Saint Petersburg	Euler's totient; Euler's theorem; partitions; graph theory; e
fermat	person	Pierre de Fermat (1607–1665)	French lawyer and amateur mathematician regarded as the father of modern number theory.	Born: 1607, Beaumont-de-Lomagne; Died: 12 Jan 1665, Castres	Fermat's Last Theorem; Fermat numbers; Fermat primes; infinite descent
riemann	person	Bernhard Riemann (1826–1866)	German mathematician whose work transformed analysis and number theory.	Born: 17 Sep 1826, Breselenz; Died: 20 Jul 1866, Selasca	Riemann zeta function; Riemann hypothesis; complex analysis
ramanujan	person	Srinivasa Ramanujan (1887–1920)	Self-taught Indian mathematician with extraordinary intuition for numbers.	Born: 22 Dec 1887, Erode; Died: 26 Apr 1920, Kumbakonam	Partitions; highly composite numbers; Ramanujan primes; mock theta functions
mersenne	person	Marin Mersenne (1588–1648)	French monk and scholar after whom Mersenne primes are named.	Born: 8 Sep 1588, Oizé; Died: 1 Sep 1648, Paris	Mersenne primes; scientific correspondence; number theory
lucas	person	Édouard Lucas (1842–1891)	French mathematician known for work on integer sequences and primality tests.	Born: 4 Apr 1842, Amiens; Died: 3 Oct 1891, Paris	Lucas numbers; Lucas-Lehmer test; Tower of Hanoi
lehmer	person	Derrick Henry Lehmer (1905–1991)	American number theorist and pioneer of computational number theory.	Born: 23 Feb 1905, Berkeley; Died: 22 May 1991, Berkeley	Lehmer numbers; factorization methods; computational number theory
erdos	person	Paul Erdős (1913–1996)	Hungarian mathematician famous for prolific collaboration and problem solving.	Born: 26 Mar 1913, Budapest; Died: 20 Sep 1996, Warsaw	Erdős numbers; combinatorics; probabilistic number theory
conway	person	John Horton Conway (1937–2020)	British mathematician known for recreational and computational mathematics.	Born: 26 Dec 1937, Liverpool; Died: 11 Apr 2020, New Brunswick	Game of Life; surreal numbers; look-and-say sequence
turing	person	Alan Turing (1912–1954)	British mathematician and pioneer of computer science.	Born: 23 Jun 1912, London; Died: 7 Jun 1954, Wilmslow	Turing machine; computability; cryptanalysis
euclid	person	Euclid (c.325 BC – c.265 BC)	Ancient Greek mathematician often called the father of geometry.	Born: c.325 BC; Died: c.265 BC	Euclidean algorithm; Elements; number theory
pythagoras	person	Pythagoras (c.570 BC – c.495 BC)	Ancient Greek philosopher and mathematician.	Born: c.570 BC, Samos; Died: c.495 BC, Metapontum	Pythagorean theorem; figurate numbers; philosophy
